DEATH_CROSS_CONFIRM,PROFIT_PROTECT_ENABLED,PROFIT_PROTECT_PCT,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
1,False,0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
1,False,0.3,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
1,False,0.2,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
1,False,0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
1,True,0.3,0.6294026658552005,0.2541108540399717,-0.12665030392822296,1.1164597508225251,157,0.5813953488372093,1629402.6658552005
3,True,0.05,0.5192202317104002,0.21404071222861365,-0.13956633751633438,0.9635029029678217,98,0.6181818181818182,1519220.2317104002
3,False,0.3,0.4725654011655999,0.19660477655604525,-0.12545818622517962,0.8193353146379762,137,0.6301369863013698,1472565.4011656
3,False,0.05,0.4725654011655999,0.19660477655604525,-0.12545818622517962,0.8193353146379762,137,0.6301369863013698,1472565.4011656
3,False,0.2,0.4725654011655999,0.19660477655604525,-0.12545818622517962,0.8193353146379762,137,0.6301369863013698,1472565.4011656
3,False,0.15,0.4725654011655999,0.19660477655604525,-0.12545818622517962,0.8193353146379762,137,0.6301369863013698,1472565.4011656
3,False,0.1,0.4725654011655999,0.19660477655604525,-0.12545818622517962,0.8193353146379762,137,0.6301369863013698,1472565.4011656
3,True,0.2,0.46465913679759996,0.19362082317876816,-0.1331249573833738,0.799872744958345,133,0.6619718309859155,1464659.1367976
2,True,0.15,0.3843724739693997,0.16281658723106696,-0.12335983635612081,0.6998252337291532,144,0.5875,1384372.4739693997
1,True,0.2,0.37576542634159976,0.15945800309042268,-0.14759697070181826,0.7017058451316918,164,0.5555555555555556,1375765.4263415998
2,False,0.15,0.32475407065879996,0.13931729427044592,-0.12519744970580846,0.618065336962269,164,0.5280898876404494,1324754.0706588
2,False,0.1,0.32475407065879996,0.13931729427044592,-0.12519744970580846,0.618065336962269,164,0.5280898876404494,1324754.0706588
2,False,0.3,0.32475407065879996,0.13931729427044592,-0.12519744970580846,0.618065336962269,164,0.5280898876404494,1324754.0706588
2,False,0.2,0.32475407065879996,0.13931729427044592,-0.12519744970580846,0.618065336962269,164,0.5280898876404494,1324754.0706588
2,False,0.05,0.32475407065879996,0.13931729427044592,-0.12519744970580846,0.618065336962269,164,0.5280898876404494,1324754.0706588
3,True,0.3,0.32079728352319964,0.13773779868852287,-0.13601947058908098,0.5978337362549517,135,0.625,1320797.2835231996
2,True,0.3,0.29842109248620013,0.1287573987020556,-0.12820724871882364,0.5690852645099754,160,0.5632183908045977,1298421.0924862002
3,True,0.15,0.29124704567059945,0.12586064163799926,-0.13782124798443054,0.5450700904520005,129,0.6376811594202898,1291247.0456705994
2,True,0.1,0.2898290959873998,0.12528707726934063,-0.1354086246157354,0.5395784385626518,134,0.618421052631579,1289829.0959873998
1,True,0.05,0.25150911710140017,0.10965656042994709,-0.17485410256158043,0.48763639664498887,106,0.5573770491803278,1251509.1171014002
2,True,0.05,0.24949913852100006,0.1088296637545898,-0.20215074274759173,0.46854359131918544,103,0.6166666666666667,1249499.138521
2,True,0.2,0.22650044252419985,0.099316861476334,-0.12447981647926767,0.44402265783111594,156,0.5764705882352941,1226500.4425241998
3,True,0.1,0.1953998088520004,0.08629947543901717,-0.2175333953970597,0.3877519065985853,120,0.6417910447761194,1195399.8088520004
1,True,0.15,0.1952749262980006,0.0862468411868933,-0.14236000753454048,0.3898309081886029,142,0.5194805194805194,1195274.9262980006
1,True,0.1,0.18938384942020034,0.08376057004636217,-0.19758857084821185,0.36576915498814905,131,0.527027027027027,1189383.8494202003
